feature,importance,std
source,0.12556439331832842,0.0035885233948727913
lead_age_days,0.05717372631877067,0.003395097842489076
test_drive_satisfaction,0.019679191695608344,0.0011208729338524005
days_to_offer,0.01606342569820194,0.0009648889908922567
offer_discount_pct,0.012201717743097529,0.0005134184939590373
log_list_price,0.012038765669483897,0.001378148111400399
days_to_test_drive,0.00941704613771759,0.0002554415378646716
advisor_id,0.008043528621184825,0.0022770236857597437
price_objection,0.0018005156086194462,0.0004620810998931547
spouse_decision,0.0017076663089329535,0.00023652277009581345
created_dow,0.0016747964147128425,0.0005612392296619754
offer_financing,0.0016124569601575045,0.00038771288962041706
segment,0.000656295493051573,0.00048728662479500417
response_hours_capped,0.0005650454371556535,0.0004968249437818635
financing_interest,0.0003355927698033501,0.000151442431259021
whatsapp_count,0.0003315713703687884,0.00026881696135930603
went_quiet,0.0003119922789131424,0.00016314727057413505
utm_source,0.00018431672852483593,9.870416751166713e-05
competitor,0.00014832597991731866,9.70456482288798e-05
signal_count,9.871836913168952e-05,9.856068370912854e-05
region,9.298903943522063e-05,2.5375933898090646e-05
corporate_fleet,5.097395499515933e-05,3.630726442300174e-05
buying_signal,2.4190503162557776e-05,2.4903683088481236e-06
n_interactions,2.3693650722655947e-05,0.0005412241524450909
days_since_last_interaction,1.4501880586514914e-05,0.00023313237681003198
has_offer,7.639106261803085e-06,1.3857905627972903e-06
contacted,0.0,0.0
dealer_type,0.0,0.0
positive_test_drive,0.0,0.0
upsell_signal,0.0,0.0
stock_issue,-1.3446069151901163e-05,5.972856766504444e-05
has_test_drive,-1.5821644879632225e-05,4.276285495704344e-06
inbound_count,-1.6473763706903455e-05,0.00010959579335716615
trade_in,-2.2140986848295797e-05,3.05354316268397e-05
showroom_visits,-3.1224070513236056e-05,5.880318353391015e-05
delay_signal,-3.341332657607055e-05,7.88040259316047e-05
brand,-3.9670561989768596e-05,0.00024980066411676543
created_month,-0.00013511281034641608,0.0003074338012161176
fuel_type,-0.0002005420660118107,0.00021984462394337103
trade_in_mention,-0.0002644497110802613,0.0001398466828675051
budget_gap_pct,-0.00044963593137470337,0.00036589188316895607
dealer_id,-0.0004981100975320896,0.00012372559106719574
