TEKLIF_NO;LEAD_ID;ARAC_KODU;BAYI_KODU;TEKLIF_TARIHI;LISTE_FIYATI;ISKONTO_ORANI;NET_FIYAT;FINANSMAN;GECERLILIK_TARIHI;TEKLIF_DURUMU
O000001;L0000004;V024;D008;13.04.2026;2650000;0,0;2650000;H;27.04.2026;accepted
O000002;L0000005;V030;D002;26.12.2024;11900000;2,49;11603000;E;09.01.2025;rejected
O000003;L0000006;V008;D001;10.12.2024;4200000;2,57;4091000;E;24.12.2024;accepted
O000004;L0000007;V018;D001;16.04.2025;4700000;6,55;4392000;H;30.04.2025;rejected
O000005;L0000008;V020;D006;24.06.2025;6600000;6,42;6176000;H;08.07.2025;rejected
O000006;L0000009;V010;D004;03.07.2025;4600000;0,8;4563000;H;17.07.2025;rejected
O000007;L0000011;V024;D013;19.08.2026;2650000;0,0;2650000;E;02.09.2026;accepted
O000008;L0000012;V019;D009;30.03.2026;4500000;2,16;4402000;E;13.04.2026;accepted
O000009;L0000014;V019;D009;17.12.2025;4500000;5,97;4231000;H;31.12.2025;rejected
O000010;L0000015;V033;D001;29.11.2025;5400000;1,53;5317000;H;13.12.2025;rejected
O000011;L0000016;V031;D003;13.07.2026;10800000;5,77;10176000;E;27.07.2026;accepted
O000012;L0000017;V025;D001;29.09.2025;3050000;5,45;2883000;H;13.10.2025;rejected
O000013;L0000018;V038;D003;16.06.2025;22000000;1,35;21703000;E;30.06.2025;rejected
O000014;L0000023;V025;D008;18.11.2024;3050000;5,2;2891000;H;02.12.2024;rejected
O000015;L0000025;V005;D005;08.08.2026;6900000;4,94;6559000;E;22.08.2026;rejected
O000016;L0000027;V019;D007;28.02.2025;4500000;7,24;4173000;H;14.03.2025;accepted
O000017;L0000029;V001;D014;23.02.2026;3450000;0,0;3450000;H;09.03.2026;rejected
O000018;L0000030;V013;D002;13.12.2025;11200000;4,31;10717000;H;27.12.2025;rejected
O000019;L0000031;V010;D006;07.04.2025;4600000;3,89;4420000;H;21.04.2025;accepted
O000020;L0000032;V024;D001;16.03.2026;2650000;7,43;2453000;E;30.03.2026;rejected
O000021;L0000033;V018;D013;24.06.2025;4700000;0,85;4660000;E;08.07.2025;rejected
O000022;L0000034;V025;D006;10.03.2026;3050000;2,74;2966000;H;24.03.2026;accepted
O000023;L0000036;V016;D003;28.04.2025;5300000;9,4;4802000;E;12.05.2025;accepted
O000024;L0000037;V013;D004;26.05.2025;11200000;7,25;10388000;E;09.06.2025;accepted
O000025;L0000040;V026;D011;28.05.2026;2900000;7,93;2670000;E;11.06.2026;accepted
O000026;L0000041;V033;D002;28.03.2026;5400000;4,71;5145000;E;11.04.2026;rejected
O000027;L0000043;V003;D009;28.07.2026;4650000;3,4;4491000;E;11.08.2026;rejected
O000028;L0000044;V028;D003;27.10.2025;4000000;7,09;3716000;E;10.11.2025;accepted
O000029;L0000045;V021;D004;18.11.2024;7400000;3,56;7136000;E;02.12.2024;rejected
O000030;L0000047;V019;D012;25.06.2026;4500000;5,89;4234000;E;09.07.2026;accepted
O000031;L0000050;V003;D004;10.07.2026;4650000;4,93;4420000;E;24.07.2026;rejected
O000032;L0000052;V019;D002;25.08.2026;4500000;6,06;4227000;H;08.09.2026;accepted
O000033;L0000055;V019;D003;25.08.2025;4500000;3,76;4330000;E;08.09.2025;rejected
O000034;L0000063;V033;D001;14.02.2026;5400000;5,46;5105000;E;28.02.2026;rejected
O000035;L0000065;V009;D002;01.06.2026;4900000;10,82;4369000;H;15.06.2026;rejected
O000036;L0000066;V016;D012;01.05.2026;5300000;2,52;5166000;E;15.05.2026;accepted
O000037;L0000067;V027;D009;04.08.2025;3700000;0,0;3700000;H;18.08.2025;rejected
O000038;L0000069;V010;D004;05.03.2026;4600000;7,03;4276000;E;19.03.2026;accepted
O000039;L0000071;V017;D006;18.12.2025;4100000;1,6;4034000;E;01.01.2026;rejected
