SATIS_NO;LEAD_ID;MUSTERI_ID;BAYI_KODU;ARAC_KODU;DANISMAN_ID;SATIS_TARIHI;TESLIMAT_TARIHI;NET_FIYAT;ODEME_TIPI;TAKAS_DEGERI;SASE_NO
S000368;L0002062;C000226;D009;V018;A0092;18.10.2024;30.11.2024;4537000;cash;;WBA160BZYS6BXH0PZ
S001296;L0006951;C000919;D005;V018;A0052;13.06.2026;25.06.2026;4561000;cash;;WBAF3016R17Y8K0C0
S002210;L0011961;C004000;D001;V026;A0012;17.03.2025;30.04.2025;2732000;cash;;WBA3YHT28DX7USLWR
S002372;L0012842;C002349;D010;V028;A0101;08.06.2026;15.07.2026;3788000;cash;;WBA4A6J54DRTDZG62
S000522;L0002815;C005205;D014;V018;A0144;25.11.2024;08.01.2025;4436000;financing;;WBA3AP4MLWX8BPUPW
S001487;L0008069;C002945;D003;V013;A0034;25.07.2025;20.08.2025;10585000;cash;;WBA4H7F1J7HKNEVND
S000323;L0001844;C004139;D007;V010;A0074;01.07.2026;09.07.2026;4226000;financing;;WBAA3UTA0K80Z7ETL
S002412;L0013074;C000627;D006;V029;A0062;07.02.2026;14.03.2026;3090000;cash;;WBAAP3D2W5R4W6XU8
S000366;L0002049;C005787;D011;V025;A0111;16.12.2024;03.01.2025;2963000;cash;;WBAT97TSSHP2SLML6
S002515;L0013606;C001774;D007;V025;A0074;31.10.2025;20.11.2025;2888000;cash;;WBAA724ADK3KJHSBC
S001766;L0009458;C003302;D005;V001;A0053;24.02.2026;28.03.2026;3328000;bank_transfer;;WBA8NFE0K3PYSKN22
S000534;L0002856;C000724;D005;V030;A0052;29.08.2026;27.09.2026;11263000;bank_transfer;;WBA3LDEY5BZ7PW295
S002679;L0014553;C001347;D001;V028;A0012;21.11.2024;10.12.2024;3815000;financing;890000;WBA0XCY7CP398UBRL
S000808;L0004244;C003521;D005;V011;A0053;04.10.2025;17.11.2025;6000000;cash;;WBA6W36JE4F6JWBKN
S002727;L0014903;C005090;D008;V001;A0083;12.01.2026;13.02.2026;3325000;cash;;WBAF89BSD6Z3YKVKV
S000240;L0001308;C002109;D009;V034;A0094;04.12.2024;16.01.2025;5634000;financing;;WBA4XV2H7YYES58X0
S001450;L0007860;C002493;D009;V017;A0092;08.01.2026;20.02.2026;3902000;financing;;WBA4U8WDVX45MRA3N
S002023;L0010890;C002892;D003;V034;A0033;16.12.2024;22.01.2025;5821000;cash;2460000;WBAJ6V1U9DZN6UM9L
S002391;L0012959;C006111;D004;V009;A0044;01.05.2025;26.05.2025;4659000;financing;1140000;WBAJXGDYDG6MYG5V0
S001940;L0010443;C004466;D010;V004;A0102;06.10.2025;11.11.2025;4816000;bank_transfer;;WBAE2X5Y8SXFA3P41
S002623;L0014231;C006098;D006;V025;A0061;21.03.2026;30.04.2026;2801000;financing;;WBAV7DD3PVPBGAUAV
S000931;L0004857;C003683;D010;V001;A0104;26.12.2025;02.01.2026;3245000;financing;;WBA2VZUBFPZBSFLJT
S000942;L0004952;C001074;D010;V026;A0104;02.10.2025;22.10.2025;2898000;financing;;WBA961AJY08JTYHW0
S001445;L0007828;C001843;D005;V029;A0054;06.02.2026;16.03.2026;3168000;cash;1280000;WBA2ZRFHFHURR89WX
S001449;L0007851;C002934;D004;V028;A0043;21.07.2026;25.08.2026;3623000;cash;;WBAT29DPJMJRG8YC8
S000953;L0005033;C003047;D008;V024;A0083;08.01.2026;25.01.2026;2456000;cash;;WBA04LGWXFFPWE2H1
S002497;L0013506;C004544;D005;V017;A0052;30.05.2026;25.06.2026;4075000;financing;;WBABEJEM8TL2K1YTN
S000835;L0004384;C001095;D006;V017;A0063;07.08.2025;08.09.2025;3928000;financing;;WBAHTU092RJGDDYCZ
S000970;L0005115;C005600;D007;V037;A0072;29.06.2026;24.07.2026;17158000;financing;7950000;WBADUU24WJVYE17YD
S001243;L0006626;C003053;D004;V031;A0041;18.07.2025;29.08.2025;10342000;cash;;WBAW359ZW4002S3KY
S000487;L0002651;C004825;D007;V035;A0073;15.05.2025;17.06.2025;7900000;financing;3840000;WBAY6FTZVVN6YGZUB
S001591;L0008689;C005193;D002;V002;A0024;19.12.2025;01.01.2026;3643000;financing;;WBABDXLSVJDW638WS
S002068;L0011152;C004084;D001;V027;A0014;20.10.2025;23.10.2025;3493000;financing;;WBAVD0CEBUVTZEZ6E
S001341;L0007221;C004885;D012;V019;A0123;17.02.2026;24.02.2026;4384000;cash;;WBA4HKACWWEPJSALB
S002105;L0011385;C004008;D011;V019;A0112;27.05.2025;08.07.2025;4250000;financing;1120000;WBAJN7PFH23JFHDFB
S001245;L0006628;C003461;D005;V009;A0054;09.02.2026;06.03.2026;4724000;financing;;WBAULC868A6EZ2AA1
S002416;L0013085;C002056;D004;V009;A0043;09.03.2026;10.04.2026;4702000;financing;2390000;WBA47CWBWKJ32FT8D
S001098;L0005738;C000369;D008;V027;A0081;07.10.2024;12.12.2025;3499000;financing;680000;WBANDMLKZPAMNXG1N
S000917;L0004808;C002817;D002;V027;A0023;27.10.2025;29.11.2025;3560000;financing;680000;WBAF41WYEMNM38XEZ
S001274;L0006790;C003921;D004;V025;A0044;04.05.2026;13.06.2026;2927000;bank_transfer;;WBA8X1R8XJK40B8HJ
S000461;L0002523;C003154;D006;V025;A0062;21.03.2025;01.05.2025;2897000;financing;;WBAD3PX35AWRK9XFV
